actor_name,num_movies
Lindsay Sloane,3
Roscoe Lee Browne,3
Johnny Lewis,3
Aimee Teegarden,3
Angie Dickinson,3
Cliff Robertson,3
Isabelle Adjani,3
James Gammon,3
Mathieu Kassovitz,3
Mary-Kate Olsen,3
Jeffrey Combs,3
John Aylward,3
Takeshi Kaneshiro,3
Kang-ho Song,3
Atticus Shaffer,3
Eduardo Verástegui,3
Kari Matchett,3
Bill Nunn,3
Mariah Carey,3
Nolan Gerard Funk,3
Patton Oswalt,3
Neil Flynn,3
Lily Cole,3
Heather O'Rourke,3
Zelda Rubinstein,3
Danneel Ackles,3
Ashley Williams,3
Jodi Lyn O'Keefe,3
Keisha Castle-Hughes,3
Paris Hilton,3
Douglas Smith,3
Richard T. Jones,3
Austin Nichols,3
Brooke Shields,3
Bashar Rahal,3
Melissa Benoist,3
Ryan Guzman,3
Robert John Burke,3
Héctor Jiménez,3
Wendi McLendon-Covey,3
Portia Doubleday,3
John Belushi,3
Ken Howard,3
Kyle Schmid,3
Nora Dunn,3
Spencer Treat Clark,3
Mike Colter,3
Mark Gatiss,3
Mehcad Brooks,3
Emmanuelle Vaugier,3
Maria Conchita Alonso,3
Tisha Campbell-Martin,3
Alan Oppenheimer,3
Tom Kane,3
Tika Sumpter,3
Rhys Wakefield,3
Michael Greyeyes,3
Phil LaMarr,3
Ned Bellamy,3
Sarah Carter,3
Konstantin Khabenskiy,3
Dallas Roberts,3
Amanda Schull,3
Ben Chaplin,3
Samaire Armstrong,3
Ron Eldard,3
Mara Wilson,3
Bella Heathcote,3
Elena Anaya,3
Boyd Holbrook,3
Rob McElhenney,3
Robert Pine,3
Jack Thompson,3
Kirstie Alley,3
Luke Bracey,3
Ben Feldman,3
Paige Turco,3
Ernie Reyes Jr.,3
Bryan Callen,3
Gedde Watanabe,3
Billie Whitelaw,3
Chelan Simmons,3
Gina Holden,3
Keshia Knight Pulliam,3
Salli Richardson-Whitfield,3
Richard Briers,3
Linda Kozlowski,3
Óscar Jaenada,3
Gillian Jacobs,3
Emily Meade,3
Zach Grenier,3
Jennifer Hale,3
William Morgan Sheppard,3
Christopher Evan Welch,3
Michael Paré,3
Jack Hawkins,3
Lori Singer,3
Brendan Fehr,3
Lynn Whitfield,3
Landon Liboiron,3
Iben Hjejle,3
Lillete Dubey,3
Dick Van Patten,3
Michael Winslow,3
Angus T. Jones,3
Paulo Costanzo,3
Vernon Dobtcheff,3
Sebastian Koch,3
Anne-Marie Duff,3
Ludivine Sagnier,3
Trey Parker,3
Ian Somerhalder,3
Bam Margera,3
Steve-O,3
Murray Hamilton,3
Shailene Woodley,3
Tony Jay,3
Lamman Rucker,3
Gunnar Hansen,3
Isaiah Washington,3
James Wolk,3
Brett Cullen,3
Joanne Whalley,3
Nimrat Kaur,3
Melonie Diaz,3
Christopher Guest,3
Riccardo Scamarcio,3
Brendan Sexton III,3
Ryan Donowho,3
Dan Byrd,3
